"refRealDateTimeFrom_inZone","sum(physicalFlow)"
"2018-08-01 04:00:00",5332486.0
"2018-08-01 05:00:00",5425152.0
"2018-08-01 06:00:00",5411656.0
"2018-08-01 07:00:00",5792693.0
"2018-08-01 08:00:00",5735920.0
"2018-08-01 09:00:00",5697948.0
"2018-08-01 10:00:00",5764621.0
"2018-08-01 11:00:00",5775081.0
"2018-08-01 12:00:00",5716909.0
"2018-08-01 13:00:00",5687190.0
"2018-08-01 14:00:00",5771984.0
"2018-08-01 15:00:00",5743754.0
"2018-08-01 16:00:00",5703647.0
"2018-08-01 17:00:00",5726519.0
"2018-08-01 18:00:00",5745352.0
"2018-08-01 19:00:00",5758632.0
"2018-08-01 20:00:00",5732708.0
"2018-08-01 21:00:00",5726322.0
"2018-08-01 22:00:00",5725894.0
"2018-08-01 23:00:00",5706185.0
"2018-08-02 00:00:00",5679535.0
"2018-08-02 01:00:00",5680873.0
"2018-08-02 02:00:00",5677478.0
"2018-08-02 03:00:00",5710348.0
"2018-08-02 04:00:00",5883180.0
"2018-08-02 05:00:00",5681011.0
"2018-08-02 06:00:00",5669276.0
"2018-08-02 07:00:00",5698200.0
"2018-08-02 08:00:00",5692424.0
"2018-08-02 09:00:00",5685855.0
"2018-08-02 10:00:00",5741948.0
"2018-08-02 11:00:00",5748948.0
"2018-08-02 12:00:00",5821883.0
"2018-08-02 13:00:00",5997066.0
"2018-08-02 14:00:00",5612965.0
"2018-08-02 15:00:00",5593815.0
"2018-08-02 16:00:00",5611897.0
"2018-08-02 17:00:00",5601195.0
"2018-08-02 18:00:00",5621708.0
"2018-08-02 19:00:00",5624654.0
"2018-08-02 20:00:00",5454347.0
"2018-08-02 21:00:00",5066722.0
"2018-08-02 22:00:00",5096347.0
"2018-08-02 23:00:00",5097818.0
"2018-08-03 00:00:00",5057405.0
"2018-08-03 01:00:00",5028431.0
"2018-08-03 02:00:00",4760926.0
"2018-08-03 03:00:00",4732078.0
"2018-08-03 04:00:00",5550218.0
"2018-08-03 05:00:00",5606018.0
"2018-08-03 06:00:00",5634312.0
"2018-08-03 07:00:00",5659759.0
"2018-08-03 08:00:00",5838305.0
"2018-08-03 09:00:00",5834966.0
"2018-08-03 10:00:00",5842195.0
"2018-08-03 11:00:00",5869269.0
"2018-08-03 12:00:00",5865644.0
"2018-08-03 13:00:00",5909738.0
"2018-08-03 14:00:00",5838248.0
"2018-08-03 15:00:00",5827288.0
"2018-08-03 16:00:00",5834098.0
"2018-08-03 17:00:00",5818355.0
"2018-08-03 18:00:00",5830111.0
"2018-08-03 19:00:00",5826332.0
"2018-08-03 20:00:00",5823797.0
"2018-08-03 21:00:00",5572384.0
"2018-08-03 22:00:00",4992848.0
"2018-08-03 23:00:00",4409207.0
"2018-08-04 00:00:00",4435316.0
"2018-08-04 01:00:00",4424528.0
"2018-08-04 02:00:00",4398872.0
"2018-08-04 03:00:00",4338825.0
"2018-08-04 04:00:00",4681282.0
"2018-08-04 05:00:00",4640256.0
"2018-08-04 06:00:00",4613555.0
"2018-08-04 07:00:00",4716409.0
"2018-08-04 08:00:00",4658720.0
"2018-08-04 09:00:00",4675869.0
"2018-08-04 10:00:00",4761448.0
"2018-08-04 11:00:00",4757878.0
"2018-08-04 12:00:00",4719474.0
"2018-08-04 13:00:00",4724041.0
"2018-08-04 14:00:00",4560982.0
"2018-08-04 15:00:00",4537649.0
"2018-08-04 16:00:00",4509635.0
"2018-08-04 17:00:00",4502242.0
"2018-08-04 18:00:00",4537905.0
"2018-08-04 19:00:00",4550263.0
"2018-08-04 20:00:00",4538637.0
"2018-08-04 21:00:00",4523270.0
"2018-08-04 22:00:00",4488926.0
"2018-08-04 23:00:00",3839132.0
"2018-08-05 00:00:00",3651328.0
"2018-08-05 01:00:00",3634741.0
"2018-08-05 02:00:00",3622526.0
"2018-08-05 03:00:00",3598644.0
"2018-08-05 04:00:00",3031858.0
"2018-08-05 05:00:00",2582936.0
"2018-08-05 06:00:00",2563518.0
"2018-08-05 07:00:00",2548658.0
"2018-08-05 08:00:00",2604741.0
"2018-08-05 09:00:00",2617109.0
"2018-08-05 10:00:00",2615033.0
"2018-08-05 11:00:00",2632393.0
"2018-08-05 12:00:00",2657835.0
"2018-08-05 13:00:00",3241190.0
"2018-08-05 14:00:00",3554813.0
"2018-08-05 15:00:00",3670160.0
"2018-08-05 16:00:00",3714024.0
"2018-08-05 17:00:00",3725823.0
"2018-08-05 18:00:00",3709592.0
"2018-08-05 19:00:00",3697660.0
"2018-08-05 20:00:00",3668423.0
"2018-08-05 21:00:00",3615260.0
"2018-08-05 22:00:00",3634494.0
"2018-08-05 23:00:00",3651132.0
"2018-08-06 00:00:00",3653713.0
"2018-08-06 01:00:00",3670064.0
"2018-08-06 02:00:00",3664092.0
"2018-08-06 03:00:00",3518006.0
"2018-08-06 04:00:00",4523719.0
"2018-08-06 05:00:00",5724138.0
"2018-08-06 06:00:00",5730695.0
"2018-08-06 07:00:00",5653243.0
"2018-08-06 08:00:00",5664435.0
"2018-08-06 09:00:00",5688362.0
"2018-08-06 10:00:00",5703338.0
"2018-08-06 11:00:00",5724038.0
"2018-08-06 12:00:00",5730869.0
"2018-08-06 13:00:00",5713942.0
"2018-08-06 14:00:00",5786256.0
"2018-08-06 15:00:00",5794239.0
"2018-08-06 16:00:00",6008972.0
"2018-08-06 17:00:00",6001946.0
"2018-08-06 18:00:00",5916374.0
"2018-08-06 19:00:00",5981566.0
"2018-08-06 20:00:00",5926844.0
"2018-08-06 21:00:00",5924715.0
"2018-08-06 22:00:00",5911798.0
"2018-08-06 23:00:00",5876663.0
"2018-08-07 00:00:00",5883364.0
"2018-08-07 01:00:00",5891880.0
"2018-08-07 02:00:00",5857808.0
"2018-08-07 03:00:00",5760431.0
"2018-08-07 04:00:00",6216154.0
"2018-08-07 05:00:00",6773571.0
"2018-08-07 06:00:00",6619739.0
"2018-08-07 07:00:00",6595650.0
"2018-08-07 08:00:00",6610844.0
"2018-08-07 09:00:00",6673644.0
"2018-08-07 10:00:00",6640413.0
"2018-08-07 11:00:00",6620211.0
"2018-08-07 12:00:00",6619539.0
"2018-08-07 13:00:00",6609538.0
"2018-08-07 14:00:00",6587674.0
"2018-08-07 15:00:00",6493487.0
